Date,iPhone,Samsung Galaxy,Huawei
1/1/10,32,0,1
2/1/10,30,0,1
3/1/10,29,0,1
4/1/10,33,0,1
5/1/10,32,0,1
6/1/10,54,1,1
7/1/10,55,2,1
8/1/10,51,3,1
9/1/10,48,4,1
10/1/10,47,4,1
11/1/10,47,5,1
12/1/10,49,5,1
1/1/11,51,4,1
2/1/11,47,5,1
3/1/11,45,5,1
4/1/11,47,6,1
5/1/11,46,8,1
6/1/11,47,9,1
7/1/11,47,10,1
8/1/11,51,10,2
9/1/11,56,11,1
10/1/11,81,13,1
11/1/11,58,14,1
12/1/11,62,17,2
1/1/12,58,15,2
2/1/12,53,14,2
3/1/12,53,14,2
4/1/12,49,15,2
5/1/12,50,17,2
6/1/12,52,19,2
7/1/12,53,19,2
8/1/12,57,20,2
9/1/12,100,21,2
10/1/12,62,21,2
11/1/12,58,22,2
12/1/12,62,24,2
1/1/13,56,20,2
2/1/13,54,19,2
3/1/13,51,23,2
4/1/13,48,20,2
5/1/13,48,21,2
6/1/13,50,21,2
7/1/13,49,21,2
8/1/13,52,21,3
9/1/13,81,21,3
10/1/13,55,20,3
11/1/13,52,21,3
12/1/13,54,23,3
1/1/14,49,19,3
2/1/14,48,19,3
3/1/14,47,18,3
4/1/14,47,19,3
5/1/14,46,17,3
6/1/14,46,17,3
7/1/14,49,18,3
8/1/14,53,18,3
9/1/14,94,19,3
10/1/14,60,18,3
11/1/14,57,18,4
12/1/14,56,19,4
1/1/15,49,17,4
2/1/15,45,17,3
3/1/15,46,18,3
4/1/15,45,16,3
5/1/15,46,15,4
6/1/15,47,15,4
7/1/15,51,15,4
8/1/15,50,15,4
9/1/15,63,14,5
10/1/15,55,14,5
11/1/15,50,14,5
12/1/15,53,15,6
1/1/16,49,12,5
2/1/16,46,13,5
3/1/16,52,13,5
4/1/16,48,11,5
5/1/16,45,11,5
6/1/16,46,11,6
7/1/16,52,12,6
8/1/16,51,12,6
9/1/16,79,11,6
10/1/16,56,10,6
11/1/16,54,10,7
12/1/16,55,11,8
1/1/17,50,9,7
2/1/17,45,9,6
3/1/17,45,9,6
4/1/17,46,9,6
5/1/17,44,8,6
6/1/17,47,8,6
7/1/17,48,8,6
8/1/17,49,8,7
9/1/17,73,8,7
10/1/17,58,7,7
11/1/17,64,8,8
12/1/17,61,8,9
1/1/18,51,7,8
2/1/18,46,7,7
3/1/18,46,7,8
4/1/18,44,6,9
5/1/18,43,6,9
6/1/18,44,6,9
7/1/18,46,6,10
8/1/18,45,7,11
9/1/18,57,6,10
10/1/18,47,6,11
11/1/18,49,7,12
12/1/18,50,7,13
